,year,state,current dollars,GDP,GDP_area
182,1998,Nebraska,2001,51349.0,Plains
183,1998,New Hampshire,2001,40529.0,New England
184,1998,New Jersey,2001,316875.0,Mideast
185,1998,New Mexico,2001,48488.0,Southwest
186,1998,Nevada,2001,63786.0,Far West
187,1998,New York,2001,718686.0,Mideast
188,1998,Ohio,2001,346648.0,Great Lakes
189,1998,Oklahoma,2001,82189.0,Southwest
190,1998,Oregon,2001,102943.0,Far West
191,1998,Pennsylvania,2001,365038.0,Mideast
192,1998,Rhode Island,2001,30838.0,New England
193,1998,South Carolina,2001,101384.0,Southeast
194,1998,South Dakota,2001,20570.0,Plains
195,1998,Tennessee,2001,162228.0,Southeast
196,1998,Texas,2001,641405.0,Southwest
197,1998,Utah,2001,59084.0,Rocky Mountain
198,1998,Virginia,2001,228049.0,Southeast
199,1998,Vermont,2001,16294.0,New England
200,1998,Washington,2001,192031.0,Far West
201,1998,Wisconsin,2001,157735.0,Great Lakes
202,1998,West Virginia,2001,39024.0,Southeast
203,1998,Wyoming,2001,16420.0,Rocky Mountain
204,1999,Alaska,2001,25550.0,Far West
205,1999,Alabama,2001,115095.0,Southeast
206,1999,Arkansas,2001,64993.0,Southeast
207,1999,Arizona,2001,144596.0,Southwest
208,1999,California,2001,1213355.0,Far West
209,1999,Colorado,2001,152331.0,Rocky Mountain
210,1999,Connecticut,2001,149010.0,New England
211,1999,District of Columbia,2001,55382.0,Mideast
212,1999,Delaware,2001,34696.0,Mideast
213,1999,Florida,2001,442613.0,Southeast
214,1999,Georgia,2001,276510.0,Southeast
215,1999,Hawaii,2001,40662.0,Far West
216,1999,Iowa,2001,85540.0,Plains
217,1999,Idaho,2001,34584.0,Rocky Mountain
218,1999,Illinois,2001,440899.0,Great Lakes
219,1999,Indiana,2001,181287.0,Great Lakes
220,1999,Kansas,2001,80208.0,Plains
221,1999,Kentucky,2001,112396.0,Southeast
222,1999,Louisiana,2001,133940.0,Southeast
223,1999,Massachusetts,2001,257802.0,New England
224,1999,Maryland,2001,173836.0,Mideast
225,1999,Maine,2001,34102.0,New England
226,1999,Michigan,2001,312054.0,Great Lakes
227,1999,Minnesota,2001,171490.0,Plains
228,1999,Missouri,2001,168877.0,Plains
229,1999,Mississippi,2001,64219.0,Southeast
230,1999,Montana,2001,20566.0,Rocky Mountain
231,1999,North Carolina,2001,260628.0,Southeast
232,1999,North Dakota,2001,17093.0,Plains
233,1999,Nebraska,2001,53494.0,Plains
234,1999,New Hampshire,2001,43360.0,New England
235,1999,New Jersey,2001,332155.0,Mideast
236,1999,New Mexico,2001,49221.0,Southwest
237,1999,Nevada,2001,69534.0,Far West
238,1999,New York,2001,743873.0,Mideast
239,1999,Ohio,2001,357378.0,Great Lakes
240,1999,Oklahoma,2001,85389.0,Southwest
241,1999,Oregon,2001,110374.0,Far West
242,1999,Pennsylvania,2001,380213.0,Mideast
243,1999,Rhode Island,2001,31895.0,New England
244,1999,South Carolina,2001,106800.0,Southeast
245,1999,South Dakota,2001,21723.0,Plains
246,1999,Tennessee,2001,170771.0,Southeast
247,1999,Texas,2001,678808.0,Southwest
248,1999,Utah,2001,62635.0,Rocky Mountain
249,1999,Virginia,2001,241503.0,Southeast
250,1999,Vermont,2001,17155.0,New England
251,1999,Washington,2001,208470.0,Far West
252,1999,Wisconsin,2001,164935.0,Great Lakes
253,1999,West Virginia,2001,40525.0,Southeast
254,1999,Wyoming,2001,17015.0,Rocky Mountain
255,2000,Alaska,2001,28129.0,Far West
256,2000,Alabama,2001,119319.0,Southeast
257,2000,Arkansas,2001,66793.0,Southeast
258,2000,Arizona,2001,153469.0,Southwest
259,2000,California,2001,1330025.0,Far West
260,2000,Colorado,2001,169341.0,Rocky Mountain
261,2000,Connecticut,2001,161929.0,New England
262,2000,District of Columbia,2001,59963.0,Mideast
263,2000,Delaware,2001,37247.0,Mideast
264,2000,Florida,2001,471623.0,Southeast
